time: 57	 sensorID: 46	 sendTo: 1
time: 58	 sensorID: 3	 sendTo: 40
time: 58	 sensorID: 28	 sendTo: 20
time: 58	 sensorID: 39	 sendTo: 49
time: 58	 sensorID: 43	 sendTo: 30
time: 58	 sensorID: 44	 sendTo: 10
time: 58	 sensorID: 49	 sendTo: 3
time: 59	 sensorID: 9	 sendTo: 12
time: 59	 sensorID: 12	 sendTo: 19
time: 59	 sensorID: 18	 sendTo: 18
time: 59	 sensorID: 29	 sendTo: 24
time: 59	 sensorID: 42	 sendTo: 1
time: 60	 sensorID: 9	 sendTo: 9
time: 60	 sensorID: 11	 sendTo: 11
time: 60	 sensorID: 13	 sendTo: 44
time: 60	 sensorID: 16	 sendTo: 36
time: 60	 sensorID: 37	 sendTo: 29
time: 60	 sensorID: 38	 sendTo: 7
time: 60	 sensorID: 41	 sendTo: 9
time: 60	 sensorID: 42	 sendTo: 40
time: 60	 sensorID: 50	 sendTo: 14
time: 61	 sensorID: 15	 sendTo: 15
time: 61	 sensorID: 30	 sendTo: 37
time: 61	 sensorID: 44	 sendTo: 16
time: 61	 sensorID: 46	 sendTo: 30
time: 62	 sensorID: 9	 sendTo: 11
time: 62	 sensorID: 40	 sendTo: 7
time: 62	 sensorID: 42	 sendTo: 12
time: 63	 sensorID: 9	 sendTo: 21
time: 63	 sensorID: 31	 sendTo: 50
time: 63	 sensorID: 40	 sendTo: 38
time: 63	 sensorID: 48	 sendTo: 44
time: 64	 sensorID: 8	 sendTo: 10
time: 64	 sensorID: 11	 sendTo: 35
time: 64	 sensorID: 13	 sendTo: 12
time: 64	 sensorID: 30	 sendTo: 24
time: 64	 sensorID: 31	 sendTo: 2
time: 64	 sensorID: 33	 sendTo: 14
time: 64	 sensorID: 50	 sendTo: 11
time: 65	 sensorID: 22	 sendTo: 4
time: 65	 sensorID: 34	 sendTo: 30
time: 65	 sensorID: 48	 sendTo: 1
time: 65	 sensorID: 50	 sendTo: 17
time: 67	 sensorID: 12	 sendTo: 10
time: 67	 sensorID: 21	 sendTo: 3
time: 67	 sensorID: 22	 sendTo: 48
time: 67	 sensorID: 38	 sendTo: 45
time: 67	 sensorID: 46	 sendTo: 5
time: 68	 sensorID: 4	 sendTo: 25
time: 68	 sensorID: 17	 sendTo: 10
time: 68	 sensorID: 30	 sendTo: 47
time: 68	 sensorID: 43	 sendTo: 40
time: 68	 sensorID: 45	 sendTo: 10
time: 68	 sensorID: 49	 sendTo: 6
time: 69	 sensorID: 1	 sendTo: 47
time: 69	 sensorID: 11	 sendTo: 34
time: 69	 sensorID: 22	 sendTo: 35
time: 69	 sensorID: 44	 sendTo: 26
time: 70	 sensorID: 11	 sendTo: 46
time: 70	 sensorID: 29	 sendTo: 39
time: 70	 sensorID: 30	 sendTo: 20
time: 70	 sensorID: 32	 sendTo: 28
time: 70	 sensorID: 35	 sendTo: 27
time: 70	 sensorID: 43	 sendTo: 6
time: 71	 sensorID: 7	 sendTo: 35
time: 71	 sensorID: 15	 sendTo: 3
time: 71	 sensorID: 16	 sendTo: 3
time: 71	 sensorID: 19	 sendTo: 1
time: 71	 sensorID: 20	 sendTo: 33
time: 71	 sensorID: 23	 sendTo: 36
time: 71	 sensorID: 30	 sendTo: 42
time: 72	 sensorID: 3	 sendTo: 1
time: 72	 sensorID: 6	 sendTo: 13
time: 72	 sensorID: 10	 sendTo: 36
time: 72	 sensorID: 28	 sendTo: 45
time: 72	 sensorID: 29	 sendTo: 38
time: 73	 sensorID: 12	 sendTo: 39
time: 73	 sensorID: 15	 sendTo: 25
time: 73	 sensorID: 16	 sendTo: 33
time: 73	 sensorID: 20	 sendTo: 49
time: 73	 sensorID: 23	 sendTo: 45
time: 73	 sensorID: 40	 sendTo: 31
time: 74	 sensorID: 23	 sendTo: 5
time: 75	 sensorID: 1	 sendTo: 23
time: 75	 sensorID: 4	 sendTo: 26
time: 75	 sensorID: 23	 sendTo: 49
time: 75	 sensorID: 30	 sendTo: 16
time: 75	 sensorID: 44	 sendTo: 47
time: 76	 sensorID: 11	 sendTo: 10
time: 76	 sensorID: 15	 sendTo: 48
time: 76	 sensorID: 18	 sendTo: 28
time: 76	 sensorID: 24	 sendTo: 20
time: 76	 sensorID: 27	 sendTo: 19
time: 76	 sensorID: 32	 sendTo: 38
time: 77	 sensorID: 5	 sendTo: 8
time: 77	 sensorID: 8	 sendTo: 46
time: 77	 sensorID: 38	 sendTo: 24
time: 77	 sensorID: 40	 sendTo: 36
time: 78	 sensorID: 2	 sendTo: 39
time: 78	 sensorID: 7	 sendTo: 2
time: 78	 sensorID: 20	 sendTo: 1
time: 78	 sensorID: 25	 sendTo: 15
time: 78	 sensorID: 29	 sendTo: 39
time: 78	 sensorID: 33	 sendTo: 41
time: 78	 sensorID: 35	 sendTo: 17
time: 78	 sensorID: 38	 sendTo: 6
time: 78	 sensorID: 43	 sendTo: 36
time: 78	 sensorID: 46	 sendTo: 29
time: 79	 sensorID: 2	 sendTo: 36
time: 79	 sensorID: 12	 sendTo: 6
time: 79	 sensorID: 16	 sendTo: 17
time: 79	 sensorID: 34	 sendTo: 5
time: 79	 sensorID: 46	 sendTo: 19
time: 79	 sensorID: 47	 sendTo: 45
time: 79	 sensorID: 50	 sendTo: 42
time: 80	 sensorID: 8	 sendTo: 5
time: 80	 sensorID: 34	 sendTo: 39
time: 80	 sensorID: 41	 sendTo: 48
time: 81	 sensorID: 14	 sendTo: 39
time: 81	 sensorID: 25	 sendTo: 42
time: 81	 sensorID: 31	 sendTo: 36
time: 81	 sensorID: 39	 sendTo: 2
time: 81	 sensorID: 42	 sendTo: 3
